epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,658.508,1.80281,7.00953,1.64353,0.67155,0.05224,0.03114,0.01619,2.31757,7.25074,1.86803,6.623e-05,6.623e-05,6.623e-05
2,1644.65,1.86011,6.24472,1.66344,0.72587,0.08363,0.04483,0.0216,2.41529,6.6972,1.93995,0.000130638,0.000130638,0.000130638
3,2452.05,1.86849,5.79977,1.68938,0.48517,0.12847,0.05394,0.02226,2.36878,6.39073,1.87333,0.000192849,0.000192849,0.000192849
4,3087.42,1.92552,5.51163,1.67364,0.51014,0.1757,0.09445,0.04729,2.47197,5.97344,1.90243,0.000252862,0.000252862,0.000252862
5,3867.02,1.91955,5.15483,1.65841,0.42995,0.1307,0.08888,0.04667,2.38974,5.75058,1.8512,0.000310676,0.000310676,0.000310676
6,4543.05,1.91705,5.0112,1.68684,0.6695,0.10457,0.0949,0.05255,2.44047,5.49591,1.90045,0.000305527,0.000305527,0.000305527
7,5271.65,1.92807,4.81486,1.7016,0.45041,0.19953,0.13917,0.07281,2.35984,5.23439,1.82382,0.000300033,0.000300033,0.000300033
8,6026.68,1.93599,4.60619,1.67665,0.5264,0.15942,0.11356,0.05901,2.393,5.12267,1.84188,0.000294539,0.000294539,0.000294539
9,6720.61,1.91815,4.53297,1.66613,0.30182,0.25904,0.10542,0.05944,2.43447,4.92421,1.88156,0.000289044,0.000289044,0.000289044
10,7372.91,1.92498,4.33759,1.6779,0.29717,0.23708,0.09807,0.05019,2.4497,4.81532,1.86073,0.00028355,0.00028355,0.00028355
11,8014.22,1.90209,4.16088,1.6501,0.31447,0.3313,0.14071,0.07972,2.41832,4.59209,1.8472,0.000278055,0.000278055,0.000278055
12,8612.62,1.89444,4.06765,1.64555,0.48076,0.14774,0.12816,0.06432,2.41659,4.536,1.8833,0.000272561,0.000272561,0.000272561
13,9221.46,1.89271,3.88959,1.64529,0.31584,0.29155,0.13646,0.07061,2.45637,4.347,1.88089,0.000267066,0.000267066,0.000267066
14,9897.49,1.85919,3.77549,1.60204,0.26151,0.24121,0.10807,0.0535,2.46194,4.30327,1.84933,0.000261572,0.000261572,0.000261572
15,10502.9,1.84229,3.80692,1.6085,0.38616,0.23417,0.13679,0.06763,2.41792,4.16201,1.89796,0.000256077,0.000256077,0.000256077
16,11111.5,1.86535,3.64721,1.63269,0.48516,0.12374,0.15245,0.07469,2.41752,4.3466,1.83651,0.000250583,0.000250583,0.000250583
17,11731.9,1.85446,3.61097,1.65551,0.20241,0.28617,0.15246,0.0759,2.41518,3.9821,1.8611,0.000245088,0.000245088,0.000245088
18,12338.4,1.87773,3.6106,1.58011,0.32906,0.22084,0.20154,0.10659,2.41061,3.97155,1.85414,0.000239594,0.000239594,0.000239594
19,12936.8,1.86241,3.51078,1.61124,0.23087,0.25779,0.152,0.07481,2.43614,4.01569,1.86557,0.000234099,0.000234099,0.000234099
20,13539.7,1.85354,3.4399,1.59923,0.42384,0.16166,0.26301,0.12635,2.37523,3.95461,1.82042,0.000228605,0.000228605,0.000228605
21,14135.7,1.8376,3.40115,1.58433,0.24996,0.21203,0.14234,0.07316,2.34575,3.84486,1.8264,0.00022311,0.00022311,0.00022311
22,14733.9,1.81345,3.29413,1.58774,0.18885,0.3299,0.1452,0.06987,2.38253,3.79175,1.81131,0.000217616,0.000217616,0.000217616
23,15328.5,1.86974,3.27005,1.60431,0.35007,0.24732,0.20004,0.09516,2.42039,3.86032,1.83816,0.000212121,0.000212121,0.000212121
24,15920.9,1.8181,3.24549,1.59951,0.28204,0.31953,0.20591,0.10491,2.42388,3.74328,1.85252,0.000206627,0.000206627,0.000206627
25,16514.2,1.81968,3.24057,1.58297,0.32837,0.26408,0.26139,0.11293,2.44811,3.7612,1.89009,0.000201132,0.000201132,0.000201132
26,17111.3,1.77155,3.16502,1.552,0.27318,0.31819,0.23366,0.10838,2.44481,3.71761,1.889,0.000195637,0.000195637,0.000195637
27,17702.5,1.80199,3.1737,1.54716,0.31208,0.22224,0.16639,0.07905,2.4861,3.91534,1.95591,0.000190143,0.000190143,0.000190143
28,18295.7,1.76053,3.0523,1.55106,0.26388,0.26213,0.21619,0.12404,2.43598,3.83545,1.90511,0.000184649,0.000184649,0.000184649
29,18886.9,1.78572,3.09984,1.5443,0.2263,0.31994,0.19692,0.10523,2.4096,3.70987,1.84694,0.000179154,0.000179154,0.000179154
30,19478,1.79406,3.09739,1.56758,0.28489,0.26461,0.25167,0.12213,2.41917,3.70856,1.89537,0.00017366,0.00017366,0.00017366
31,20070,1.78086,3.03674,1.55904,0.23621,0.21661,0.21831,0.10747,2.43824,3.79223,1.91478,0.000168165,0.000168165,0.000168165
32,20665.2,1.78881,2.97719,1.52273,0.34698,0.22081,0.21193,0.09748,2.42941,3.70751,1.87346,0.00016267,0.00016267,0.00016267
