epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,700.472,1.83203,7.11755,1.62834,0.5927,0.05843,0.03522,0.02425,2.12143,7.10803,1.71384,6.22806e-05,6.22806e-05,6.22806e-05
2,1339.71,1.90283,6.34531,1.64967,0.56816,0.17435,0.06805,0.03769,2.2764,6.79435,1.7715,0.00012385,0.00012385,0.00012385
3,1986.31,1.94786,5.82729,1.65902,0.70284,0.14421,0.09697,0.06013,2.24593,6.21004,1.75875,0.000184387,0.000184387,0.000184387
4,2618.73,1.92589,5.37589,1.66791,0.53551,0.20613,0.10493,0.05358,2.31013,6.18712,1.80776,0.000243891,0.000243891,0.000243891
5,3237.05,1.96074,5.09439,1.69169,0.59477,0.19284,0.12213,0.07153,2.28706,5.73823,1.80974,0.000302362,0.000302362,0.000302362
6,3857.79,1.93671,4.99173,1.65358,0.62492,0.14825,0.11327,0.05181,2.24509,5.38302,1.77909,0.000300089,0.000300089,0.000300089
7,4472.82,1.93616,4.71946,1.67045,0.47241,0.17788,0.11802,0.06835,2.28102,5.05543,1.82492,0.000297507,0.000297507,0.000297507
8,5090.82,1.98764,4.55205,1.71566,0.35614,0.16479,0.08367,0.04324,2.34729,4.97569,1.88057,0.000294924,0.000294924,0.000294924
9,5706.68,1.96535,4.29735,1.65315,0.31132,0.17248,0.09022,0.04589,2.26198,4.91019,1.78508,0.000292342,0.000292342,0.000292342
10,6319.01,1.95125,4.13179,1.65467,0.24317,0.21911,0.08581,0.04542,2.31959,4.78779,1.83137,0.00028976,0.00028976,0.00028976
11,6928.96,1.88836,3.97586,1.62688,0.19625,0.23842,0.10039,0.05313,2.34546,4.55028,1.85991,0.000287178,0.000287178,0.000287178
12,7535.96,1.90236,3.89964,1.6371,0.35419,0.16174,0.10273,0.04941,2.36727,4.38458,1.84569,0.000284595,0.000284595,0.000284595
13,8145.79,1.8575,3.7361,1.62773,0.21226,0.1762,0.09595,0.0515,2.36203,4.30929,1.84773,0.000282013,0.000282013,0.000282013
14,8757.48,1.9277,3.73726,1.65104,0.39238,0.18391,0.07624,0.03872,2.3908,4.46111,1.84599,0.000279431,0.000279431,0.000279431
15,9369.01,1.90026,3.59268,1.62908,0.24203,0.19304,0.09816,0.05265,2.39549,4.21861,1.83949,0.000276849,0.000276849,0.000276849
16,9974.99,1.89261,3.55347,1.61823,0.18469,0.21183,0.08951,0.0462,2.36224,4.21037,1.85117,0.000274266,0.000274266,0.000274266
17,10579.1,1.83404,3.37499,1.60871,0.09146,0.19122,0.08485,0.04414,2.39094,4.1953,1.84889,0.000271684,0.000271684,0.000271684
18,11182.8,1.88083,3.5546,1.61939,0.10625,0.21407,0.09972,0.05142,2.38419,4.0708,1.88683,0.000269102,0.000269102,0.000269102
19,11788.4,1.84938,3.30224,1.59612,0.26594,0.19189,0.10695,0.0569,2.43141,3.97416,1.88879,0.00026652,0.00026652,0.00026652
20,12400.9,1.8716,3.34458,1.58082,0.14962,0.24485,0.10241,0.05606,2.40199,4.08659,1.89941,0.000263937,0.000263937,0.000263937
21,13004.2,1.891,3.23466,1.58132,0.16497,0.21562,0.11084,0.06297,2.42625,4.01297,1.86792,0.000261355,0.000261355,0.000261355
22,13614.1,1.8547,3.25857,1.59321,0.1968,0.22271,0.09923,0.05673,2.44171,4.0801,1.90592,0.000258773,0.000258773,0.000258773
23,14220.7,1.86377,3.20112,1.6004,0.17339,0.1942,0.09465,0.05186,2.41947,3.97728,1.89389,0.000256191,0.000256191,0.000256191
24,14834,1.8336,3.07628,1.57717,0.18927,0.17342,0.09868,0.05871,2.43137,3.9164,1.86854,0.000253608,0.000253608,0.000253608
25,15440.1,1.87559,3.12756,1.59593,0.16145,0.19639,0.09942,0.06025,2.42372,3.89422,1.88714,0.000251026,0.000251026,0.000251026
26,16051.2,1.85217,3.04655,1.6009,0.22321,0.2118,0.09181,0.05276,2.46449,3.91112,1.92811,0.000248444,0.000248444,0.000248444
27,16659.4,1.84082,3.07741,1.58571,0.27271,0.18548,0.10367,0.05499,2.48199,3.90846,1.95105,0.000245862,0.000245862,0.000245862
28,17261.9,1.88372,3.03381,1.60826,0.32425,0.20286,0.10436,0.06159,2.4679,3.77388,1.92657,0.000243279,0.000243279,0.000243279
29,17870.5,1.83932,2.96639,1.57559,0.22543,0.20769,0.10208,0.05821,2.45033,3.81375,1.88685,0.000240697,0.000240697,0.000240697
30,18478.5,1.82638,2.92781,1.54998,0.38499,0.1641,0.10758,0.06008,2.40607,3.72272,1.84877,0.000238115,0.000238115,0.000238115
31,19080.8,1.81545,2.91287,1.56069,0.21189,0.17349,0.1195,0.06664,2.46985,3.77727,1.9227,0.000235533,0.000235533,0.000235533
32,19687.2,1.80704,2.9569,1.55141,0.25392,0.21059,0.13835,0.07404,2.49053,3.66017,1.94144,0.00023295,0.00023295,0.00023295
33,20286.5,1.85805,2.90106,1.5781,0.25345,0.17742,0.11855,0.06796,2.43734,3.70018,1.92993,0.000230368,0.000230368,0.000230368
34,20886.6,1.78206,2.82387,1.52041,0.19306,0.21591,0.13208,0.07077,2.46659,3.69528,1.93507,0.000227786,0.000227786,0.000227786
35,21485.6,1.78962,2.79425,1.53073,0.24415,0.18825,0.15705,0.09074,2.42532,3.66744,1.89286,0.000225204,0.000225204,0.000225204
36,22087.7,1.77421,2.79181,1.54718,0.21248,0.17403,0.13058,0.07473,2.44335,3.68118,1.95609,0.000222621,0.000222621,0.000222621
37,22694.3,1.81756,2.86412,1.54467,0.2002,0.21129,0.13128,0.06465,2.4097,3.54282,1.90638,0.000220039,0.000220039,0.000220039
38,23301.7,1.77395,2.77652,1.52809,0.39852,0.1372,0.13411,0.07381,2.46073,3.59995,1.95782,0.000217457,0.000217457,0.000217457
39,24010.9,1.7718,2.81154,1.53079,0.26724,0.21721,0.13096,0.0737,2.47025,3.67535,1.957,0.000214875,0.000214875,0.000214875
40,24921.2,1.75509,2.69148,1.51015,0.2247,0.19901,0.09091,0.05329,2.4534,3.63913,1.96423,0.000212292,0.000212292,0.000212292
41,25678.4,1.79178,2.75532,1.54246,0.21366,0.20134,0.12869,0.06677,2.47099,3.5924,1.96098,0.00020971,0.00020971,0.00020971
42,26421.6,1.78541,2.74041,1.52246,0.31339,0.21703,0.12751,0.06671,2.49546,3.55934,1.97186,0.000207128,0.000207128,0.000207128
43,27368.3,1.78898,2.70592,1.54557,0.32058,0.19855,0.13255,0.07005,2.473,3.53508,1.96107,0.000204545,0.000204545,0.000204545
44,28328.8,1.80954,2.75306,1.53668,0.2781,0.19683,0.12402,0.06412,2.45174,3.54348,1.94313,0.000201963,0.000201963,0.000201963
45,29232.3,1.74012,2.68384,1.50335,0.26019,0.19092,0.121,0.06017,2.46621,3.51728,1.95003,0.000199381,0.000199381,0.000199381
46,30038.1,1.77192,2.63353,1.53906,0.28965,0.16291,0.12734,0.06735,2.45114,3.6117,1.94209,0.000196799,0.000196799,0.000196799
47,30971.2,1.74482,2.65608,1.48864,0.2992,0.1919,0.13688,0.07776,2.42311,3.48745,1.87991,0.000194217,0.000194217,0.000194217
48,31838.8,1.73076,2.66372,1.49046,0.32439,0.13238,0.12665,0.07305,2.51502,3.50319,1.97475,0.000191634,0.000191634,0.000191634
49,32526.2,1.71275,2.59208,1.47755,0.36275,0.13733,0.13809,0.07151,2.4774,3.50153,1.97546,0.000189052,0.000189052,0.000189052
50,33153.2,1.73166,2.63902,1.49965,0.23351,0.18457,0.13975,0.07505,2.50321,3.57435,2.00272,0.00018647,0.00018647,0.00018647
51,33784,1.73467,2.67076,1.48299,0.25888,0.23368,0.16826,0.08118,2.53044,3.48973,2.01293,0.000183887,0.000183887,0.000183887
52,34417.7,1.71274,2.5714,1.49905,0.33864,0.20082,0.14435,0.07205,2.54986,3.53272,2.04795,0.000181305,0.000181305,0.000181305
53,35047,1.71862,2.58975,1.47842,0.32327,0.21148,0.1502,0.07735,2.53248,3.56703,2.04076,0.000178723,0.000178723,0.000178723
54,35683.8,1.76092,2.56493,1.51354,0.26824,0.22187,0.12909,0.06707,2.5084,3.46672,2.00311,0.000176141,0.000176141,0.000176141
55,36315.4,1.71964,2.6012,1.49302,0.48003,0.15424,0.13856,0.07239,2.51433,3.4704,1.97317,0.000173559,0.000173559,0.000173559
56,841.388,1.63234,5.02347,1.42202,0.00391,0.16229,0.01471,0.00597,2.49872,4.54567,1.82835,0.000170976,0.000170976,0.000170976
57,1587.58,1.67672,3.79037,1.45124,0.8167,0.07951,0.03057,0.01423,2.50901,4.01718,1.85075,0.000168394,0.000168394,0.000168394
58,2299.18,1.7184,3.49363,1.46736,0.78206,0.07578,0.05445,0.02864,2.4935,3.90392,1.91012,0.000165812,0.000165812,0.000165812
59,3078.41,1.67348,3.32669,1.45708,0.84209,0.0425,0.06368,0.03202,2.49356,3.72088,1.95192,0.000163229,0.000163229,0.000163229
60,3774.16,1.67155,3.17993,1.46054,0.65119,0.08635,0.08273,0.04137,2.4688,3.64319,1.96308,0.000160647,0.000160647,0.000160647
61,4434.07,1.71683,3.09169,1.50866,0.4641,0.10993,0.07779,0.04298,2.48217,3.57788,1.97005,0.000158065,0.000158065,0.000158065
62,5091.21,1.66064,2.93885,1.46479,0.42415,0.12433,0.08051,0.03851,2.46853,3.58183,1.97292,0.000155483,0.000155483,0.000155483
63,5748.62,1.66197,2.86502,1.45353,0.37969,0.15741,0.08098,0.03844,2.51531,3.57432,1.99674,0.0001529,0.0001529,0.0001529
64,6402.1,1.67315,2.9423,1.43334,0.29636,0.17511,0.08493,0.0455,2.4953,3.4766,1.99378,0.000150318,0.000150318,0.000150318
65,7057.38,1.64509,2.75077,1.44129,0.29584,0.14856,0.09509,0.05343,2.48584,3.47085,2.012,0.000147736,0.000147736,0.000147736
66,7719.9,1.683,2.74816,1.47959,0.33246,0.16999,0.09217,0.05062,2.50715,3.69304,2.01819,0.000145154,0.000145154,0.000145154
67,8411.28,1.63961,2.76744,1.45969,0.28622,0.18273,0.1066,0.06075,2.52435,3.58679,2.00132,0.000142572,0.000142572,0.000142572
68,9282.73,1.63637,2.70407,1.45645,0.29026,0.1697,0.0993,0.05498,2.55222,3.48815,2.06113,0.000139989,0.000139989,0.000139989
69,10004.2,1.64454,2.68547,1.452,0.2973,0.20171,0.10075,0.055,2.58377,3.70536,2.06169,0.000137407,0.000137407,0.000137407
70,10649.2,1.68892,2.68312,1.46471,0.36031,0.185,0.11807,0.06539,2.57363,3.6114,2.0696,0.000134825,0.000134825,0.000134825
71,11315.8,1.65231,2.63781,1.44569,0.25778,0.19299,0.10746,0.05676,2.59086,3.56141,2.11306,0.000132243,0.000132243,0.000132243
72,12036,1.66439,2.63237,1.46408,0.26934,0.20476,0.0906,0.04808,2.57957,3.48447,2.08593,0.00012966,0.00012966,0.00012966
73,12703.3,1.67003,2.58858,1.44878,0.25325,0.19131,0.14703,0.0667,2.56071,3.56483,2.03821,0.000127078,0.000127078,0.000127078
74,13357,1.62417,2.57131,1.42562,0.24611,0.22911,0.1517,0.07394,2.56617,3.53046,2.04632,0.000124496,0.000124496,0.000124496
75,14001.2,1.67396,2.62103,1.45443,0.24663,0.25256,0.12764,0.06661,2.56329,3.58902,2.05477,0.000121913,0.000121913,0.000121913
76,14650.2,1.64875,2.57029,1.46053,0.25514,0.20595,0.11015,0.06069,2.59322,3.50292,2.08837,0.000119331,0.000119331,0.000119331
77,15292.1,1.61709,2.55485,1.4295,0.25342,0.20323,0.10661,0.05868,2.62565,3.56741,2.11716,0.000116749,0.000116749,0.000116749
78,15931.7,1.62924,2.56768,1.43595,0.34571,0.20186,0.102,0.05655,2.59705,3.61941,2.11741,0.000114167,0.000114167,0.000114167
79,16574.3,1.66869,2.50084,1.45409,0.24685,0.18939,0.12375,0.06578,2.58074,3.61417,2.07459,0.000111585,0.000111585,0.000111585
80,17217.4,1.62861,2.49649,1.45792,0.24639,0.24111,0.12125,0.06407,2.57649,3.60655,2.0789,0.000109002,0.000109002,0.000109002
81,17859.3,1.6137,2.53789,1.43659,0.25511,0.22018,0.11759,0.05835,2.5746,3.61812,2.07432,0.00010642,0.00010642,0.00010642
82,18502.5,1.60802,2.53712,1.43354,0.25128,0.21904,0.12847,0.07185,2.56143,3.61388,2.07969,0.000103838,0.000103838,0.000103838
83,19143.3,1.6023,2.49693,1.4248,0.20614,0.22696,0.12486,0.06781,2.59505,3.69789,2.09729,0.000101256,0.000101256,0.000101256
84,19785.1,1.62723,2.52024,1.44684,0.20797,0.20032,0.14733,0.06499,2.56523,3.65798,2.0837,9.86733e-05,9.86733e-05,9.86733e-05
85,20425.3,1.59271,2.48081,1.42703,0.19268,0.21955,0.12573,0.06791,2.56101,3.56617,2.09288,9.6091e-05,9.6091e-05,9.6091e-05
86,21066.7,1.64414,2.50232,1.41999,0.19376,0.22481,0.1282,0.06961,2.56475,3.68063,2.07365,9.35087e-05,9.35087e-05,9.35087e-05
87,21709.9,1.58679,2.45177,1.42049,0.20481,0.20081,0.13279,0.07305,2.58366,3.69686,2.09016,9.09265e-05,9.09265e-05,9.09265e-05
88,22413,1.60738,2.50041,1.44946,0.20846,0.18511,0.15238,0.075,2.55132,3.64426,2.0876,8.83443e-05,8.83443e-05,8.83443e-05
89,23085.4,1.61911,2.48929,1.4313,0.2143,0.20088,0.17004,0.09597,2.52741,3.56779,2.06197,8.5762e-05,8.5762e-05,8.5762e-05
90,23785.7,1.61495,2.4659,1.4362,0.15754,0.22517,0.13612,0.07343,2.56712,3.53398,2.0929,8.31797e-05,8.31797e-05,8.31797e-05
91,24702.3,1.57559,2.43213,1.3972,0.15757,0.1982,0.15006,0.08394,2.55839,3.50469,2.08909,8.05975e-05,8.05975e-05,8.05975e-05
92,25508.8,1.55987,2.46824,1.40449,0.20986,0.22025,0.13409,0.0738,2.5512,3.57836,2.06782,7.80153e-05,7.80153e-05,7.80153e-05
93,26333.3,1.55826,2.35621,1.38369,0.20398,0.20905,0.12357,0.06948,2.5526,3.63604,2.0807,7.5433e-05,7.5433e-05,7.5433e-05
94,27140.4,1.555,2.43452,1.39095,0.34827,0.1546,0.12655,0.07601,2.58666,3.58608,2.10791,7.28507e-05,7.28507e-05,7.28507e-05
95,27991.4,1.61684,2.43915,1.3942,0.22556,0.21934,0.12708,0.07635,2.56201,3.63014,2.08587,7.02685e-05,7.02685e-05,7.02685e-05
96,28793.7,1.5612,2.45285,1.38984,0.20896,0.22532,0.11371,0.07028,2.54501,3.49857,2.07663,6.76863e-05,6.76863e-05,6.76863e-05
97,29587.4,1.55944,2.41489,1.39033,0.20759,0.22006,0.13158,0.08227,2.54503,3.581,2.07415,6.5104e-05,6.5104e-05,6.5104e-05
98,30428.8,1.58286,2.41964,1.42895,0.20989,0.20675,0.12235,0.07639,2.54954,3.53186,2.08041,6.25218e-05,6.25218e-05,6.25218e-05
99,31151.9,1.54769,2.4028,1.36998,0.20402,0.2131,0.15337,0.08674,2.55873,3.50346,2.08354,5.99395e-05,5.99395e-05,5.99395e-05
